ssrn_id,status_on_author_page_2026_07_04,title,pdf,zenodo
5387400,visible,The Legislator as Extended Phenotype: A Darwinian Theory of Legal Evolution,papers/5387400-The-Legislator-as-Extended-Phenotype-A-Darwinian-T.pdf,10.5281/zenodo.18566652
5391036,visible,"Two Paths, One Evolution: Testing the Extended Phenotype Theory Across Legal Systems",papers/5391036-Two-Paths-One-Evolution-Testing-the.pdf,10.5281/zenodo.18567507
5402461,visible,Law as Language: From Scandinavian Realism to Evolutionary Jurisprudence,papers/5402461-Law-as-Language-From-Scandinavian.pdf,10.5281/zenodo.18576390
5405459,visible,JurisRank: Measuring Legal Phenotypic Fitness Through Citation Networks,papers/20613103-JurisRank-Measuring-Legal-Phenotypic-Fitness-Through-Citation-Networks.pdf,10.5281/zenodo.20613103
5428374,visible,Evolutionary Genealogy of Corporate Criminal Liability,papers/5428374-Evolutionary-Genealogy-of-Corporate-Criminal-Liabi.pdf,10.5281/zenodo.20612819
5454256,visible,The Extended Phenotype of Artificial Intelligence,papers/5454256-The-Extended-Phenotype-of-Artificial-Intelligence.pdf,10.5281/zenodo.18567734
5463814,visible,The Extended Phenotype of Populism,papers/5463814-THE-EXTENDED-PHENOTYPE-OF-POPULISM.pdf,10.5281/zenodo.20612821
5467928,visible,The Peralta Metamorphosis: Quantifying the Evolution of Legal Parasitism,papers/5467928-The-Peralta-Metamorphosis-Quantifying-the-Evolutio.pdf,10.5281/zenodo.20612829
5468569,visible,The Multilayer Parasite: Quantifying Corruption's Institutional Architecture,papers/5468569-The-Multilayer-Parasite-Quantifying-Corruptions.pdf,10.5281/zenodo.20612833
5472748,visible,The Cuckoo's Superestimulus: A Theoretical Framework,papers/5472748-The-Cuckoos-Superestimulus-A-Theoretical-Framework.pdf,10.5281/zenodo.20612835
5477267,visible,Computational Genealogies and Political Attractors,papers/5477267-Computational-Genealogies-and-Political-Attractors.pdf,10.5281/zenodo.20612837
5478426,visible,Why Bad Law Persists: Evolutionarily Stable Strategies in Legal Systems,papers/5478426-Why-Bad-Law-Persists-Evolutionary-Stable-Strategie.pdf,10.5281/zenodo.20612840
5478466,visible,The Altruism Paradox in Law: How Selfish Genes Create Cooperative Legal Orders,papers/5478466-The-Altruism-Paradox-in-Law-How-Selfish-Genes-Crea.pdf,10.5281/zenodo.18562865
5478467,visible,The Legal DNA: How Behavioral and Evolutionary Forces Shape Legal Norms,papers/5478467-The-Legal-DNA-How-Behavioral-and.pdf,10.5281/zenodo.20612842
5486006,visible,"Dead Language, Living Law: Latin Legal Maxims as Perfect Memes",papers/5486006-Dead-Language-Living-Law-Latin-Legal-Maxims-as.pdf,10.5281/zenodo.18556003
5486466,visible,Good Faith as Legal DNA: The Genealogical Origins of Contractual Loyalty,papers/5486466-GOOD-FAITH-AS-LEGAL-DNA-THE-GENEALOGICAL.pdf,10.5281/zenodo.20612844
5492066,visible,Jurists as Evolutionary Engineers: Artificial Selection in Legal Doctrine,papers/5492066-JURISTS-AS-EVOLUTIONARY-ENGINEERS-ARTIFICIAL.pdf,10.5281/zenodo.18564668
5496678,visible,The Legal Book of the Dead: Memetic Pincers and Institutional Palimpsests,papers/5496678-The-Legal-Book-of-the-Dead-Memetic-Pincers.pdf,10.5281/zenodo.20612848
5555478,visible,Small Concept Models: A Specialized Framework for Legal AI,papers/5555478-Small-Concept-Models-A-Specialized-Framework-for.pdf,10.5281/zenodo.20612850
5557838,visible,IusSpace: A Twelve-Dimensional Framework for Mapping Legal Concepts,papers/5557838-IusSpace-A-Twelve-Dimensional-Framework-for-Mappin.pdf,10.5281/zenodo.20612852
